Amara Kallé
Juan Fernando Quintero
Ameth Fall
Kevin Wimmer
Robert Zulj
Chuks Aneke
Martin Angha
Daniel Boateng
Zak Ansah
Nico Yennaris
Elton Monteiro
Jens Michelbach
Jean-Pascal Mignot
Andrea Molinelli
Andy Delort
Daley Blind
Lakdar Boussaha
Dorian Lévêque
Kévin Barré
Loïc Nego
Joel Edwards
Franck L'Hostis
Ali Gabr
Christoph Metzelder
François Moubandje
Marc Vidal
Mounir Bouziane
Vlad Chiricheș
Aleksejs Gilnics
Tom Cairney
Samuel Atrous
Djakaridja Koné
Louis Almond
Collin Quaner
Hassan Yebda
Simon Moore
Malcolm Cacutalua
Furtado
Bouabid Bouden
Torben Rehfeldt
Guillaume Cherreau
Niki Mäenpää
Mounir Diane
Guillaume Plessis
Frano Mlinar
Callum Wilson
Jóan Símun Edmundsson
Azar Karadas
Gastón Ramírez
Aleksey Kosonogov
Chun-soo Lee
Marc Planus
Alexander Tettey
Grégory Bourillon
Jacques Faty
Pierre Aristouy
Dame Diouf
Marc Boucher
Stéphen Drouin
Emerse Faé
Luigi Glombard
Loïc Guillon
Fodil Hadjadj
Aaron Mooy
Kevin Osei
Perica Radic
Shefki Kuqi
Feliciano Condesso
Andreas Möller
Biagio Meccariello
Tommy Smith
Gary Twigg
Ismaily
Ashton Götz
Lorenzo Laverone
Danny Ward
Fabrizio Poli
Mattia El Hilali
Leonel Galeano
Oliver Oschkenat
João Silva
Marco Villa
Manuel Bihr
Rani Khedira
Odysseas Vlachodimos
Robin Yalçın
Sinan Tekerci
Konstantin Fuhry
Mattia Maggio
Tolis Vellios
Matthias Ginter
Fabian Menig
Sebastian Kerk
Ola John
Cristiano Biraghi
Marek Kysela
Alen Stevanovic
Samuele Longo
James Spray
Danko Boskovic
Nikola Maksimovic
John Anthony Brooks
Luca Marrone
Patrick Schorr
Jonas Sakuwaha
Grant Hall
Marco Bizot
Aras Özbiliz
Ivan Lanni
Benjamin Leroy
Khouma Babacar
Davide Gavazzi
Karim Laribi
Fabio Ceccarelli
Bryan Oviedo
Christian Nerlinger
Jakub Wierzchowski
Virgile Boumelaha
Ignazio Carta
Lisandro López
Sigamary Diarra
José Luis Palomino
Souleymane Diawara
Fabricio Fuentes
Manasseh Ishiaku
Yann Jouffre
Eric Loussouarn
Marvin Ducksch
Patrick Weihrauch
Joe Riley
Alexandre Martinovic
Guirane N'Daw
Michael O'Halloran
Peter Odemwingie
Jesús Corona
Gauthier Mahoto
Oguchi Onyewu
Lukas Raeder
Silvio Proto
Ibrahim Abdul Razak
Clément Rigaud
Serge Djamba-Shango
