Vincent Hognon
Hérita Ilunga
Jérémie Janot
Frédéric Mendy
Fayçal Fajr
Sylvain Meslien
Michael Melka
Julien Sablé
Dominik Schmidt
Marios Ikonomou
Carsten Busch
Marcel von Walsleben-Schied
Rony Lopes
Jonathan Zongo
Omar Colley
Amaral
Leandro Amaral
Martin Pringle
Adryan
Emilio Mac Eachen
Fausto Tienza
Mimoun Azaouagh
Roberto Lago
Islam Slimani
Moussa Latoundji
Youcef Belaïli
Lars Weißenfeldt
Bernard
Baldo Di Gregorio
Daniyel Cimen
Óscar Duarte
Matthias Küfner
Frank Löning
Jonny Otto
Juan Delgado
Moi Gómez
Joel Valencia
Nélson
Nacho Porcar
Gavin Peacock
Dimas
Fabien Boyer
Jonathan Clauss
Stefan Thesker
Eric Dier
Adam Morgan
Brad Smith
Carlos Delgado
Cristian Lobato
André Ramalho
Miguel Cifuentes
Vittorio Salustri
Álex Barrera
Álex Menéndez
Kit Symons
Ole Selnæs
Paul Trollope
Sebastian Lletget
János Mátyus
Alexis Ferrante
Borja Valle
Eric López
Lorenzo Rosseti
Hernán Santana
Diego Vettraino
Mattia Bani
Rodrigo Ely
Luca Maniero
Thomas Broich
Isaac Cuenca
Marc Fernández
Oliver Sánchez
Kai Bülow
Davide Cais
Arnaud Torregrossa
Lucas Piazón
Rafal Wolski
Aymeric Laporte
Jota Peleteiro
José Alcañiz
Pape Maly Diamanka
Isma Gil
Cícero
Yunus Balaban
Marcus Hesse
Florian Jarjat
David Leray
Tom Moosmayer
Sascha Mölders
Moussa N'Diaye
Sébastien Roudet
Julián Cuesta
Kevin McKenna
Ralph Gunesch
Michael Richardson
Rubén Duarte
Florin Andone
Du-ri Cha
Giulio Sanseverino
Abdul Razak
Daniel Gordon
Polat Keser
Djamel Mesbah
Abdul Iyodo
Abdón Prats
Gerard Moreno
Nathan Aké
Jean-Clotaire Tsoumou-Madza
Nené
Miguel Trauco
Aleksandar Mladenov
Connor Smith
Janik Haberer
Georges Gope-Fenepej
Moustapha Salifou
Domenico Berardi
Adnan Januzaj
Tiago Ilori
Charly Musonda Jr.
Marco Sellan
Graham Burke
Harry Maguire
Gaël N'Lundulu
Jordan Archer
Chris Kettings
Toni Micevski
Abdoulaye Keita
Famoussa Kone
Sébastien Pocognoli
Michael Santos
Álex Alegría
Timo Achenbach
Pol García
Thom Haye
Jean-Eudes Aholou
Victorien Angban
Abdoul Kaboré
Sana Zaniou
René Adler
Dani García
Davie Selke
Chaker Alhadhur
Jean Michaël Seri
Shawn Kauter
Márton Fülöp
Stephan Andersen
Karim Haggui
Stephen Elliott
Moharram Navidkia
Marcelinho Carioca
Julien Sola
Vasile Miriuță
Eduardo Ratinho
Halil Altıntop
Michy Batshuayi
Hamit Altıntop
Karim Saïdi
Kamel Larbi
Cheick Diarra
Donald Love
Curtis Good
Arnar Gunnlaugsson
Robert Bauer
Philipp Förster
Lukas Görtler
Vladimir Darida
Hugo Lloris
Luca Savelloni
Javo
Maximiliano Olivera
Anthony Scaramozzino
Miha Blazic
Lucas Pereira
Josip Elez
Saïd Boutahar
David di Tommaso
Ratinho
Tomislav Piplica
Michael Krohn-Dehli
Santi Aragón
Charly Charrier
Paul Verhaegh
Manu Palancar
Sardar Azmoun
Nicolas Douchez
Olivier Fauconnier
Giorgio Venturin
Matheus Carvalho
Marek Koźmiński
Zan Majer
Tato
Derek Boateng
Julien Faubert
Steven Creac'h
Patryk Rachwal
Per Nilsson
Oliver Barth
Sergi Samper
Iker Undabarrena
Piotr Zieliński
Danny Whitehead
Barbaros Barut
Antoine Conte
Sébastien Haller
Wesley Jobello
Salim Laassami
Gaëtan Laborde
Arthur Masuaku
Abdoulaye Touré
Thievy Bifouma
George Evans
Gonçalo Paciência
Courtney Meppen-Walter
Adil Nabi
James Ward-Prowse
Robert Mazan
Massimo Luongo
Igor Berezovskyi
Marquinhos
Hernani
Emerson Palmieri
Wallace Oliveira
Léo Bonatini
Cláudio Winck
Sören Pirson
Laurențiu Reghecampf
Stefan Beckert
Ally Samatta
Anssi Jaakkola
Bacari
Curtis Davies
Pape Sané
Lucas Lima
Quincy Promes
Isah Eliakwu
Edmond Kapllani
Sota
Jean-Paul Boëtius
Karim Rekik
Tonny Vilhena
Tiemoué Bakayoko
Lesly Malouda
Cameron Lancaster
Carlos Mané
João Cancelo
Marlon Frey
Marco Sailer
Gaël Andonian
Youssef Ben Ali
Dorian Caddy
Jonathan Mexique
Alexandre Lecomte
Jean-Charles Castelletto
Anthony Martial
Franck Bambock
Wylan Cyprien
Thomas Didillon
Seko Fofana
Jean-Philippe Gbamin
Younès Kaabouni
Matthias Henn
Zakarie Labidi
Clément Lenglet
Mike Maignan
Romaric N'Gouma
Louis Nganioni
Hervin Ongenda
Ange-Freddy Plumain
Adrien Rabiot
Wesley Saïd
Stefano Denswil
Klemen Lavric
Davy Klaassen
Marcel Ziemer
Boubacar Sylla
Lass Bangoura
Olivier Auriac
Aurélien Capoue
Jonny Rödlund
Maicon
Fabio Aveni
Koffi Djidji
Alberto Patania
Michael Berndt
Benoît Assou-Ekotto
Milos Antic
Tommie Hoban
Kenny McEvoy
Zoltán Gera
Leo Chambers
Jordan Graham
Ryan Inniss
Diego Poyet
Luke Shaw
Joe Rothwell
Chris Long
Callum Robinson
Luke McGee
Ben Pearson
Szabolcs Huszti
Jamaal Lascelles
Kevin Mbabu
Attila Tököli
Patrick Bamford
Issa Cissokho
Álvaro González
Fatmir Pupalovic
Anwar El Ghazi
Paul Seguin
Damir Vrancic
Gregor Zabret
Petar Stojanovic
Maks Barisic
Marlin Piana
Sebastian Schachten
Dylan Tombides
Marco D'Arsiè
Salim Arrache
Matteo Montorsi
Jörg Scherbe
Jordan Clark
Russell Canouse
Abdel Malik Hsissane
Aloys Nong
Christian Kühlwetter
Javi Hervás
Denis Epstein
Harouna Bara
Alan Hernández
Xavi Aguado
Ángel Luis Alcázar
Federico Basavilbaso
Pier
Sergio de la Cruz
Jesús Cota
Rubén Estévez
Gerard Escoda
Jean-François Hernandez
Iván Iglesias
Eloy Jiménez
Gustavo Lombardi
Javi López
Hugo Morales
Jordi Ocaña
Tomás Olías
Paulo Jamelli
Jaime Quesada
Pablo Rotchen
Koldo Sarasua
Marcos Sequeiros
Juan Carlos Socorro
Orlando
Txomin Larrainzar
Manuel Ruano
Javier Castaño
Shani Tarashaj
Ming-Yang Yang
Tom Hopper
Stephen Kingsley
Betão
Haris Duljevic
Naïm Sliti
Emil Krafth
Victor Lindelöf
Denys Bain
Guido Carrillo
Diego García
Ximo Navarro
Gonzalo Verdú
Álex Berenguer
Borja Arlanzón
Florian Thauvin
Alfred Duncan
Edgar Salli
Franck Ohandza
Ambroise Oyongo
Kalifa Coulibaly
Kalifa Traoré
Vilmos Sebők
Vincenzo Grifo
Harvey Esajas
Jacob Barrett Laursen
Zoltán Szélesi
Jhon Córdoba
Bartosz Bosacki
Tigrao
Marc Heitmeier
Michael Parensen
Kosi Saka
Clément Martinez
Ernesto Farías
Alberto Noguera
François Modesto
Nicolai Rapp
Víctor Montaño
Adnane Tighadouini
Nicolás López
Markus Bollmann
Tim Leibold
Charles Banya
Joseph Laumann
Thomas Guerbert
Roman Prokoph
Vanco Trajanov
Bobby De Cordova-Reid
Yuya Kubo
Stephen Hendrie
Valentino Lazaro
Jakub Hromada
Filip Lesniak
Franco Dolci
Tomas Vestenicky
Thiago Galhardo
Álvaro Negredo
Agus García
Herbert Bockhorn
Steeve Théophile
Daniel Brinkmann
Milan Zahalka
Patrick Banggaard
John Stones
Stéphane Cassard
Mohamed Elyounoussi
Alexis Rolín
Marvin Braun
Joan Hartock
Sinan Bytyqi
Hicham Khaloua
Enzo Roco
Cristian Cuevas
Luis Carlos Martín
Álex Martínez
Marek Rodak
Jack Rose
Sven Michel
Adailton
Christian Atsu
René Trehkopf
Julien Ielsch
Simon Skrabb
Sergio Poveda
Pepe Sellés
Igor Bubnjic
Mike van der Hoorn
Dragan Mladenovic
Seyi Olofinjana
Fabian Bröcker
Mitchell Dijks
Chris David
André Luis
Julio Cáceres
Gilberto
Philipp Kreuels
Kwame Yeboah
Cristian Buonaiuto
Benjamin Venekamp
Thomas Touré
Timo Baumgartl
Julian Brandt
Maurice Multhaup
Aaron Seydel
Leonardo Koutris
Afonso Alves
Ante Rebic
Fabian Bredlow
José Ángel Jurado
Sergio Rodríguez
Tobias Grahn
Clinton Mata
Anderson Conceição
Jon Inge Höiland
Jon Jönsson
Andrés Pato
Javier Pineda
Yassine Benzia
Luís Martins
Christopher Joufreau
Przemyslaw Frackowiak
Tsanko Tsvetanov
Stefan Buck
Nils Rütten
Ryan Christie
Sebastián Cristóforo
Naby-Moussa Yattara
Simon Sluga
David Suarez
Joel Mero
Milos Krasic
Vágner Love
Bilal Aziz Özer
Tim Hoogland
Marko Bakic
Luka Djordjevic
Mattias Asper
Brayan Perea
Thibaut Vion
Franck Dja Djédjé
Patrick Twumasi
Liam Lawrence
Jean Beausejour
Matthew Spring
Pascal Chimbonda
Thiago
Bruno González
Alejandro Pozuelo
Manu Trigueros
Guillermo Varela
Sheraldo Becker
Matteo Luigi Brunori
Naomichi Ueda
Benjamin Nicaise
Danijel Petkovic
Leyti N'Diaye
Rudi Vata
Hatem Ben Arfa
Jérémy Clément
Yacine Hima
Michael Petrasso
Sylvain Idangar
Johann Truchet
Modou Barrow
Marcel Hartel
Christian Wieczorek
Jimmy Briand
Jonathan Bru
Yoann Gourcuff
Katlego Mphela
Per Ciljan Skjelbred
Alessandro Caruso
Karim Benzema
Andy Polo
Pierre Ducasse
Carlos Ascues
Thomas Mangani
Gianluca Di Chiara
Samir Nasri
Rémy Riou
Rodrigo Aguirre
Ahmed Yahiaoui
Gaspar Iñíguez
Jérémi Kimmakon
Gerard Piqué
Lucas Ocampos
Steven Thicot
Gastón Silva
Jonathan Silva
Emiliano Velázquez
Carlos Gruezo
Cristian Ramírez
Rashade Sido
Mémé Tchité
Milos Maric
Roberto Chen
Renaud Cohade
Alejandro Domínguez
Ahmet Cebe
Otar Khizaneishvili
Harallamb Qaqi
Jannik Bandowski
Nermin Celikovic
Kenneth Kronholm
Christian Bravo
Ángelo Henríquez
Paul Nardi
Rodrigo Defendi
Florian Raspentino
Marco Reich
Witold Wawrzyczek
Daniel Chitsulo
Gianmarco Oddo
Victor
Predrag Rajkovic
Caleb Stanko
Maximilian Eggestein
Gerrit Holtmann
Farès Bahlouli
Anthony Briançon
Lucas Mocio
César
Corentin Tolisso
Timo Röttger
Gökhan İnler
David Sauget
Vykintas Slivka
Ezequiel González
Hedwiges Maduro
Patrick Mtiliga
Heurelho Gomes
Marko Pajac
Bouna Sarr
Erik Domaschke
Gérald Cid
Emiliano Sala
Baptiste Reynet
Tristan Do
Sylvain Franco
Uros Djurdjevic
Luís Fabiano
Mikael Antonsson
Mats Møller Dæhli
Marouane Chamakh
Juan Pablo Francia
Andreas Clauß
Khassa Camara
Patrik Andersson
Giuseppe Rossi
Brice Samba
Christian Gentner
Michael Langer
Benjamin Boulenger
Landry Bonnefoi
Héctor Bellerín
Arturo Di Napoli
Domenico Giampà
Alessandro Parisi
Sean Maguire
Florian Pick
Marco Storari
Marco Zoro
Jonathan Pitroipa
Oussama Haddadi
Mahmoud Dahoud
Petr Coupek
Domenico Cozza
Fred
Carlos Expósito
Sezai Demircan
Salvatore Accursi
Salvatore Aronica
Charlie I'Anson
Arkadiusz Milik
Rafal Kurzawa
Antônio da Silva
Ferjani Sassi
Razak Nuhu
Albert Bunjaku
Edgar Ié
Markus Babbel
Unai López
Carmine Coppola
Patrizio Balleello
Vittorio Mero
Mariano Sotgia
Nick Pope
Mohamed Dräger
Jonas Föhrenbach
Luca Fusco
Andrea Gentile
Claude Gentile
Kerem Bülbül
Tolcay Cigerci
Niklas Klinger
Kepa Arrizabalaga
Tomás Guzmán
Mohamed Gouaida
Max Christiansen
John Jairo Ruiz
Gozie Ugwu
Antonino Asta
Daniel Damm
Luigi Lavecchia
Jordan Lefort
Fabian Montabell
Papa Demba Camara
Leroy Sané
Pedro Martín
Léandro
Alexandre Negri
Joel Pereira
Ulisses Garcia
Nico Elvedi
Anto Grgic
Nicolas Haas
Edmond Akichi
Jeffrey Baltus
David Camps
Michele Cossato
Andrea Mazzantini
Stanislav Lobotka
Sabin Merino
Ben Davies
Gwion Edwards
Moussa Konaté
Claudio Paris
Luca Cavalli
Rodolfo Giorgetti
Daniel Sereinig
Roberto Sosa
Nikolaos Spyropoulos
William Troost-Ekong
Charles-Élie Laprevotte
Salvatore Sullo
Karl Svensson
Geoffray Toyes
Samuel
Sebastian Backer
Waldemar Anton
Mike-Steven Bähre
Tim Kleindienst
Oscar Wendt
Valmir Sulejmani
Niklas Teichgräber
Miguel Bañuz
Adel Gafaiti
Alejandro Grimaldo
Igor Zaniolo
Álex Moreno
Radhi Jaïdi
John McGinn
Rachid Alioui
Mathieu Michel
Fahad Al-Muwallad
Gauthier Gallon
Johannes Dietwald
Hendrik Großöhmichen
Moritz Marheineke
Bastian Schulz
Björn Engels
Nabil Ghilas
Hamadi Al-Ghaddioui
Dennis Aogo
Jakub Swierczok
Pascal Bieler
Abdoulaye Sané
Kristoffer Olsson
Jon Toral
Tim Wiesner
Mousa Dembélé
Lucas Alario
Carlos Clerc
Iuri Medeiros
Karim Matmour
Patrick Erras
Ryan Fulton
Liam Henderson
Pascal Köpke
Paul Murray
Marius Wolf
Diego Rolán
Yves Baraye
Yeltsin Tejeda
Gianpaolo Bellini
Antonino Bernardini
Igor Budan
Michele Canini
Santos
Deniz Dogan
Carmine Gautieri
Natale Gonnella
Andrea Lazzari
Michele Marcolini
Nicola Mingazzini
Riccardo Montolivo
Joe Bryan
Giampaolo Pazzini
Alex Pinardi
Fabio Rustico
Mohamed Sarr
Damiano Zenoni
Alex Calderoni
Simy
Renato Steffen
Manuel Salz
Erick Cabalceta
Antonio Di Salvo
Álvaro Ampuero
Nabil Baha
Aimé Lavie
Gianluca Gaudino
Raffaele Celia
Lucas Scholl
Samu Castillejo
Keith Branagan
Aniello Salzano
Pascal Stenzel
Nii Nortey Ashong
Salem Al-Dawsari
Michele Castagnetti
Stefano Fusari
Hermann Kabasele
Matteo Superbi
Eugen Polanski
Paulo Gazzaniga
Ian Andrews
Hilário Leal
Thomas Drescher
Sueliton
José Pozo
Oscar Arzamendia
Charlie Taylor
Jordon Ibe
Ole Käuper
Adedeji Oshilaja
Joe Ralls
Mark Summerbell
Florian Grillitsch
Alexander Nübel
Mirnes Pepic
Felix Platte
Bastos
Albian Ajeti
Dennis Erdmann
Bernd Dreher
Marco Meyerhöfer
Luca Waldschmidt
Robert Glatzel
Donis Avdijaj
Marvin Friedrich
Jordan Laidler
Adam Mitchell
Jonathan Tah
Panagiotis Kone
Marius Gersbeck
Leigh Mills
Emmerson Boyce
Marvin Stefaniak
Leo Weinkauf
Saidy Janko
Dwight Gayle
Sinan Gümüş
Josh Passley
Philipp Müller
Alessandro Stefanini
Nasir El Kasmi
Daniel Pavlovic
Remi Matthews
Joel Gerezgiher
Lukas Watkowiak
Julian Weigl
Maximilian Wittek
Michael Zetterer
Joshua Mees
Ken Gipson
Christian Ortag
Timon Wellenreuther
David Kinsombi
Devante Parker
Daniel Zeaiter
Dusan Basta
Andreas Christensen
Gustavo
Dragan Bogavac
Ivan Lakicevic
Stefan Effenberg
Dejan Ilic
Boško Janković
Nenad Kovacevic
Aleksandar Lukovic
Unai García
José Manuel Hermosa
Kenan Kodro
Kike Royo
Marco Sangalli
Joseba Zaldua
Dejan Milovanovic
Marko Muslin
Sanibal Orahovac
Marko Pantelic
Goran Popov
Nemanja Vidic‎
Milivoje Vitakic
Andrea Demontis
Nikola Zigic
Federico Bernardeschi
Saverio Madrigali
Rubén Bentancourt
Dominik Stroh-Engel
Davide Agazzi
Mattia Caldara
Roberto Gagliardini
Alberto Grassi
Luca Milesi
Alex Redolfi
Daniele Grandi
Doudou Mangni
Antonio Palma
Federico Varano
Riccardo Benatti
Alex Ferrari
Luca Marchignoli
Nicola Pescatore
Ander Capa
Maikel Mesa
Javi Montoya
Rúben Semedo
Chuba Akpom
Steven Hewitt
John Swift
Filippo Costa
Nicolò Fazzi
Riccardo Fiamozzi
Filippo Penna
Alessio Romagnoli
Emanuele Rovini
Alberto Cerri
Janoi Donacien
Christian Erwig
Josh Sheehan
Jamie Vardy
Adama Ba
Pedro Rebocho
Troy Hewitt
Liam Shephard
Luca Corrado
Ruben D'Incà
Riccardo Dimitrio
Ivan Provedel
Giovane Élber
Rafa Soares
André Silva
Jefté Betancor
Jean Deza
Cristian Gómez
Filip Helander
Simone Ceccarelli
Marco Frediani
Federico Ricci
Matteo Ricci
Federico Dimarco
Jordan Gibbons
Raffael
Emiliano Corsi
Cheikh Bangré
Jean-David Beauguel
Richard Boateng Welbeck
Adrian Dabasse
Simon Charlton
Kevin Mayi
Yannick M'Bone
Jonathan Monteiro
Tokelo Rantie
Ibrahim Sacko
Muamer Tankovic
Harry Toffolo
Wilfried Zahibo
Steve Gohouri
Remie Streete
Lewis Baker
Markus Feulner
Stefan Simic
Nadjib Baouia
Makan Traoré
João Costa
Cédric Hountondji
Hadi Sacko
João Schmidt
Sam Hoskins
Marco Modolo
Davide Cinaglia
Willyan
Abou Diop
Thorsten Fink
Umberto Saracco
Manuel De Luca
Lorenzo Lari
Daniele Vacondio
Tommaso Arrigoni
Alessandro Tonti
Nicolò Lolli
Alessandro Saporetti
Francesco Urso
Nono
Carlos García
Súper
Gabriele Angiolini
George Forsyth
Lorenzo Menicagli
Andreas Linde
Federico Massaccesi
Adrian Pit
Enrico Tonozzi
Kingsley Boateng
Bryan Cristante
Alessio Innocenti
Davide Narduzzo
Andrea Petagna
David Speziale
Zsolt Kalmár
Mattia Sprocati
Jacek Goralski
Damian Kadzior
Rubén Blanco
Ramón Bueno
Ander Cantero
Antonio Cotán
Óscar Gil
Dani Iglesias
Sandro Ramírez
Roberto Abbondanzieri
Aitor Seguín
Pablo Barrientos
Jonathan Bottinelli
Willy Caballero
Diego Cagna
José Calvo
Donervon Daniels
Reece Hall-Johnson
Jacob Murphy
Josh Murphy
Nereo Champagne
Giovanni Zaro
Gianluca Austoni
Giuseppe Zampano
Joyce Anacoura
Nicola Berselli
Michael Frech
Matteo Ferrari
Franco Costanzo
Diego Crosa
Raman Chibsah
Eric Lanini
Matías Donnet
Yunis Abdelhamid
Wálter García
Luigi Turbacci
Claudio Andreoli
Tommaso Barluzzi
Luca Carru
Danilo Cataldi
Gregorio Pagni
Andrea Sbraga
Riccardo Serpieri
Haichel Bouallegue
Simone Brugaletta
Simone Caruso
Pablo Ledesma
Agostino Gallo
Sergio Garufi
Sem Addamo
Germán Lux
Orlando Held
William Lacerda
Andrea Tufano
Javier Mascherano
Andrea Bandini
Geordan Dupire
Andrea Pastore
Davide Petermann
Giovanni Terrani
Davide Biraschi
Andrea Beghetto
Caleb Ekuban
Michele Cavion
Marco Sportiello
Gonzalo Rodríguez
Gastón Sangoy
Mario Basler
Axel Roos
Berkant Göktan
Jonathan Santana
Matías Silvestre
Andreas Ivan
Papu Gómez
Elseid Hysaj
Elvis Kabashi
Fabián Vargas
Pablo Zabaleta
Valerio Nava
Timothée Dieng
Daniele Celiento
Diamante Crispino
Roberto Insigne
Giuseppe Nicolao
Giuseppe Palma
Francesco Savarise
Marco Vittiglio
Mattia Aramu
Alessandro Capello
Fabio Eguelfi
Federico Mattiello
Lorenzo Paramatti
Kevin Koubemba
Salvatore Gambino
Won-kwang Jo
Demba Touré
Simone Aldrovandi
Sadio Mané
Júlio Sérgio
Florian Julien
Elano
Petros
Pol Freixanet
Mauro Bollino
Valentin Cojocaru
Ricardo Bóvio
Dávid Forgács
Jack Barthram
Alex Pritchard
Kevin Stewart
Nabil Jaadi
Gelson Fernandes
Patrick Foletti
Badile Lubamba
Owen Hargreaves
Marco Benassi
Leon Guwara
Isaac Kiese Thelin
Juan Krupoviesa
José Sosa
Maurice Gillen
Nicolaj Thomsen
George Glendon
Angus Gunn
Jordy Hiwula
Lewis Kinsella
Floriano Vanzo
Kristjan Glibo
Mamadou Kanoute
Christopher Jullien
Juan Carlos Real
Stefano Botta
Carsten Jancker
Juan Falcón
Ibrahim Babatunde
Milos Veljkovic
Flavien Tait
Stefano Cerniglia
Farid Boulaya
Benoît Angbwa
Abdenour Amachaibou
Olubayo Adefemi
Benjamin Henrichs
Marc-André Kruska
Andrejs Ciganiks
Besian Idrizaj
Florian Klein
Luca Zanotti
Yaffa Yusupha
Max Reinthaler
Stiven Rivic
John Piercy
Ruben Loftus-Cheek
Bård Finne
Nicolò Tonon
Luca Iotti
Gennaro Tutino
José Artiles
Roque Mesa
Danny Ward
Pedro Bigas
Salvatore Falso
Marco Iannascoli
David Mbodj Mbaye
Giuseppe Greco
Christian Alfonso
Conor McGrandles
Jesper Juelsgaard
Ignacio Jeraldino
Pasquale D'Aniello
Christophe Vincent
Romuald Lacazette
Chancel Mbemba
Manuel Arteaga
Zakaria Bakkali
Andreas Pereira
Jakob Busk
Andreas Cornelius
Rafael
David Barral
Jack Grealish
Jamar Loza
Zana Allée
Nabil Fekir
Romain Habran
Pierre-Yves Hamel
Adrien Hunou
Djaid Kasri
Nuke Mfulu
Steven Moreira
Christian Ngando
Naby Sarr
Steeven Willems
Amos Youga
Rodri Tarín
Cafú
Ruben Aguilar
Maxence Chapuis
Kamel Chergui
Vital Nsimba
Pierre-Yves Polomat
Melker Hallberg
Iván López
Diego Pérez
Dominic Samuel
Viktor Kovalenko
Oleksandr Zinchenko
Gladstone
Doni
Branco van den Boomen
Artur Moraes
Jean-Pierre Rhyner
Jens Jeremies
Daniel Gunkel
Matus Bero
Wendel
Milan Skriniar
Paolo Sokoli
Henrique Silva
Tom Syku
Juanan Entrena
Jussiê
Xavi Quintillà
Adama Traoré
Scott Harrison
Julian Loose
Mayoro N'Doye
Romain Saïss
Saman Ghoddos
Larry Azouni
Adam Campbell
Tobias Weis
Jean-François Kornetzky
Solomon Okoronkwo
Joseph Lopy
Corentin Jean
Isnik Alimi
Leonhard Haas
Yves-Marie Kerjean
Dor Peretz
Nils-Eric Johansson
Nelson Valdez
Rick Karsdorp
Rai Vloet
Norbert Gyomber
Andrés Guardado
Jádson
Jörg Hahnel
Jeffrey Assoumin
Alexandre Cropanese
Sebastian Hähnge
Vincent Di Stefano
Mohamed Hamzaoui
Marc-Aurèle Caillard
Rahmane Barry
Tobias Badila
Ibrahim Amadou
Sascha Dum
Karim Coulibaly
Maxence Derrien
Damien Dussaut
Niklas Hauptmann
Marco Ilaimaharitra
Brian Landini
Thomas Lemar
Mickaël Malsa
Opa Nguette
Florent Zitte
Rúnar Alex Rúnarsson
Federico Gagliardini
Luca Garritano
Dejan Iliev
Nicolas N´Dione
Marcus Rohdén
DaMarcus Beasley
Gjoko Zajkov
Bobby Convey
Urby Emanuelson
Andrea Russotto
Mario Pasalic
Marko Pjaca
Oliver Kahn
Raúl Jiménez
Paulo Dybala
Guillaume Beuzelin
Arnold Mvuemba
Isaac Hayden
Pape Sow
Corby Moore
Sasan Gouhari
Tin Jedvaj
Daniel Bocande
Venn Touré
Robin Quaison
Matteo Cincilla
Mario Piccinocchi
Eduard Sobol
Kenny Tete
Jean-Philippe Caillet
Bruno Pompière
Janis Ikaunieks
Clemente Rodríguez
Tomas Svedkauskas
Momar Bangoura
Jimmy Cabot
Kévin Rodrigues
Stephan Kling
Joshua Brenet
Jaanai Gordon
Will Hughes
Vincent Janssen
Dan Potts
Fábio Felicio
Philipp Heerwagen
Tal Ben Haim
Iñigo Idiakez
Nelson Abeijón
Rolando Bianchi
Massimo Brambilla
Davide Capello
Andrea Capone
Daniele Conti
Sergio Rico
Loris Del Nevo
Mauro Esposito
Simone Farci
Gennaro Iezzo
Antonio Langella
Matthias Heidrich
Diego López
Simone Loria
Roberto Maltagliati
Armando Pantanelli
Rocco Sabato
David Suazo
Emmanuel Corrèze
Max Besuschkow
Amara Condé
Justin Möbius
Philipp Ochs
Cedric Teuchert
Florian Heller
Ibrahima Mbaye
Tom Lockyer
Louis Thompson
Adam Bodzek
Bono
Ruslan Malinovskyi
Alberto Moreno
Luismi Sánchez
Jozabed Sánchez
Dele Alli
Joakim Olausson
Samuel Kuffour
Michele Nicoletti
Mauro Rizzo
Curro Sánchez
Georgios Vakouftsis
Bartlomiej Dragowski
Dawid Kownacki
Mateusz Wieteska
Brendan Galloway
Boubacar Baldé
Christian Walton
Álex Craninx
Yannick Gigliarelli
Jan Kristiansen
Stef Peeters
Jakob Poulsen
George Pușcaș
Stefano Bertasi
Aladje
Fredy Hinestroza
Samu García
Stefan Silva
Riccardo Zampagna
Raffaele Ametrano
Thomas Linke
Richard Offiong
Rafik Djebbour
Luca Checchin
Esteban Solari
Giuseppe Biava
Chadli Amri
Kewullay Conteh
Michele Ferri
Solly March
Christian Terlizzi
Daniele Di Donato
Igor Lichnovsky
Aaron Brown
Alexandru Mitriţă
Andrea Gasbarroni
Peter Gilbert
Ahmet Arslan
Matt Hill
Leroy Lita
Oumar Niasse
Massimo Mutarelli
David Norris
Pape Dia
Ettore Gliozzi
Djamel Eddine Benlamri
Samir Kamouna
Bixente Lizarazu
Didier Ndong
Radek Cerny
Biel Company
Charlie Took
Álex Gallar
Alberto Martín
Nico Baleani
Uche
Pablo Marí
James Horsfield
Martin Fenin
Pavel Fort
Mariusz Stepinski
Milan Ivana
Michal Kadlec
Markus Husterer
Martin Latka
Davide Zagnoni
Bradley Watkins
Tomislav Gomelt
Patrick Mölzl
Milan Petrzela
Ross Fitzsimons
Jan Rajnoch
Darwin Machís
Badou Ndiaye
Helibelton Palacios
Mauricio Cuero
Miguel Borja
Luca Ariatti
Michele Bacis
Davide Carrus
Sebastián Cejas
Daniele De Vezze
Angelo Di Livio
Enrico Fantini
Gaetano Fontana
Christian Maggio
Francesco Palmieri
Christian Riganó
Omer Hanin
Antonio Rizzo
Mirko Savini
Andrea Soncin
Issa Ba
Kiki Kouyaté
Arnaud Faget
Abel Khaled
Marc-Éric Gueï
Vedad Ibisevic
Rodolphe Roche
David Balleri
Emiliano Biliotti
Stefano Fanucci
Andrea Giallombardo
Gianmatteo Mareggini
Matteo Melara
Armando Perna
Marc Pfertzel
Richard Vanigli
Gary Silk
Zdenek Pospech
Nicolás Córdova
Corrado Colombo
Alessandro Doga
Claudio Grauso
Dario Passoni
Igor Protti
Gennaro Ruotolo
Luca Vigiani
Roger Martí
Nathan Sinkala
Ranisav Jovanovic
Tomas Zapotocny
Michael Jürgen
Dimitri Oberlin
Djibril Sow
Kyle De Silva
Florian Tardieu
Youssef Mohamad
Jack O'Connell
Adam Webster
Iván Calero
Markel Etxeberria
Álex Remiro
Jaime Sánchez
Fran Varela
Filipe Augusto
Alexy Bosetti
Levy Madinda
Willy Sagnol
Jimmy Giraudon
Ciaran Donnelly
Alessandro Masia
Rubén García
Alireza Jahanbakhsh
Ron-Robert Zieler
Tiziano Cherubini
Idriz Toskic
Aiden McGeady
Matteo Mantovani
Alessandro Cesaretti
Pedro Henrique
Alexander Stephan
Marek Cech
Federico Freire
Juanjo Narváez
Jhon Chancellor
Lucas Torró
Arda Turan
Sebastian Schonlau
Matheus Dória
Cedric Gondo
Pablo Coronado
Hugo Cantero
Juanto Ortuño
Antonio Loi
Filippo Berra
Hasan Salihamidzic
Guido Bennati
David Ferguson
Daniel Amartey
Cristiano Lucarelli
Mariano González
James Wilson
Mitchell Beeney
Diacko Fofana
Luciano Vietto
Virgil Misidjan
Mario Guillén
Dennis Díaz
Pierrick Capelle
Tom
Giovanbattista Catalano
Vlad Marin
Jens Kern
Abdul Yabré
Claudio Morra
Junior Ponce
Connor Roberts
Borja López
Tià Sastre
Óliver Torres
Paul McCallum
